Census Year,Religious affiliation,Unit,Value
2006,Buddhist,Count,33
2006,Christian,Count,4077
2006,Hindu,Count,15
2006,Islam/Muslim,Count,9
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,1407
2006,Spiritualism and New Age Religions,Count,30
2006,Other Religions,Count,48
2006,Object to Answering,Count,609
2006,Total people stated,Count,7914
2006,Not Elsewhere Included,Count,1077
2006,Total people,Count,8976
2006,No Religion,Count,11922
2006,Buddhist,Count,156
2006,Christian,Count,24963
2006,Hindu,Count,126
2006,Islam/Muslim,Count,69
2006,Judaism/ Jewish,Count,30
2006,Maori Christian,Count,4908
2006,Spiritualism and New Age Religions,Count,186
2006,Other Religions,Count,288
2006,Object to Answering,Count,3234
2006,Total people stated,Count,40701
2006,Not Elsewhere Included,Count,3894
2006,Total people,Count,44460
2006,No Religion,Count,1548
2006,Buddhist,Count,42
2006,Christian,Count,4875
2006,Hindu,Count,6
2006,Islam/Muslim,Count,33
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,1233
2006,Spiritualism and New Age Religions,Count,24
2006,Other Religions,Count,45
2006,Object to Answering,Count,507
2006,Total people stated,Count,7680
2006,Not Elsewhere Included,Count,831
2006,Total people,Count,8484
2006,No Religion,Count,19764
2006,Buddhist,Count,351
2006,Christian,Count,38601
2006,Hindu,Count,348
2006,Islam/Muslim,Count,240
2006,Judaism/ Jewish,Count,54
2006,Maori Christian,Count,2340
2006,Spiritualism and New Age Religions,Count,342
2006,Other Religions,Count,579
2006,Object to Answering,Count,4335
2006,Total people stated,Count,65301
2006,Not Elsewhere Included,Count,5685
2006,Total people,Count,70842
2006,No Religion,Count,18165
2006,Buddhist,Count,411
2006,Christian,Count,28515
2006,Hindu,Count,138
2006,Islam/Muslim,Count,144
2006,Judaism/ Jewish,Count,60
2006,Maori Christian,Count,1626
2006,Spiritualism and New Age Religions,Count,360
2006,Other Religions,Count,207
2006,Object to Answering,Count,3651
2006,Total people stated,Count,52044
2006,Not Elsewhere Included,Count,3447
2006,Total people,Count,55359
2006,No Religion,Count,3774
2006,Buddhist,Count,36
2006,Christian,Count,7278
2006,Hindu,Count,9
2006,Islam/Muslim,Count,24
2006,Judaism/ Jewish,Count,3
2006,Maori Christian,Count,351
2006,Spiritualism and New Age Religions,Count,72
2006,Other Religions,Count,33
2006,Object to Answering,Count,888
2006,Total people stated,Count,12168
2006,Not Elsewhere Included,Count,807
2006,Total people,Count,12957
2006,No Religion,Count,22749
2006,Buddhist,Count,366
2006,Christian,Count,35820
2006,Hindu,Count,282
2006,Islam/Muslim,Count,147
2006,Judaism/ Jewish,Count,60
2006,Maori Christian,Count,363
2006,Spiritualism and New Age Religions,Count,345
2006,Other Religions,Count,258
2006,Object to Answering,Count,5073
2006,Total people stated,Count,63897
2006,Not Elsewhere Included,Count,5163
2006,Total people,Count,68901
2006,No Religion,Count,2658
2006,Buddhist,Count,27
2006,Christian,Count,5061
2006,Hindu,Count,9
2006,Islam/Muslim,Count,3
2006,Judaism/ Jewish,Count,3
2006,Maori Christian,Count,66
2006,Spiritualism and New Age Religions,Count,33
2006,Other Religions,Count,15
2006,Object to Answering,Count,660
2006,Total people stated,Count,8352
2006,Not Elsewhere Included,Count,552
2006,Total people,Count,8889
2006,No Religion,Count,7893
2006,Buddhist,Count,57
2006,Christian,Count,14001
2006,Hindu,Count,78
2006,Islam/Muslim,Count,78
2006,Judaism/ Jewish,Count,9
2006,Maori Christian,Count,450
2006,Spiritualism and New Age Religions,Count,93
2006,Other Religions,Count,99
2006,Object to Answering,Count,1971
2006,Total people stated,Count,24081
2006,Not Elsewhere Included,Count,2451
2006,Total people,Count,26484
2006,No Religion,Count,4209
2006,Buddhist,Count,39
2006,Christian,Count,6249
2006,Hindu,Count,51
2006,Islam/Muslim,Count,21
2006,Judaism/ Jewish,Count,12
2006,Maori Christian,Count,690
2006,Spiritualism and New Age Religions,Count,45
2006,Other Religions,Count,87
2006,Object to Answering,Count,1080
2006,Total people stated,Count,12102
2006,Not Elsewhere Included,Count,1497
2006,Total people,Count,13572
2006,No Religion,Count,12654
2006,Buddhist,Count,219
2006,Christian,Count,22491
2006,Hindu,Count,186
2006,Islam/Muslim,Count,87
2006,Judaism/ Jewish,Count,57
2006,Maori Christian,Count,1305
2006,Spiritualism and New Age Religions,Count,243
2006,Other Religions,Count,198
2006,Object to Answering,Count,2802
2006,Total people stated,Count,39333
2006,Not Elsewhere Included,Count,3420
2006,Total people,Count,42636
2006,No Religion,Count,4008
2006,Buddhist,Count,42
2006,Christian,Count,7953
2006,Hindu,Count,24
2006,Islam/Muslim,Count,21
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,885
2006,Spiritualism and New Age Religions,Count,48
2006,Other Religions,Count,39
2006,Object to Answering,Count,993
2006,Total people stated,Count,13740
2006,Not Elsewhere Included,Count,1002
2006,Total people,Count,14712
2006,No Religion,Count,8688
2006,Buddhist,Count,81
2006,Christian,Count,14148
2006,Hindu,Count,21
2006,Islam/Muslim,Count,60
2006,Judaism/ Jewish,Count,21
2006,Maori Christian,Count,327
2006,Spiritualism and New Age Religions,Count,129
2006,Other Religions,Count,93
2006,Object to Answering,Count,1821
2006,Total people stated,Count,24846
2006,Not Elsewhere Included,Count,1287
2006,Total people,Count,26070
2006,No Religion,Count,26529
2006,Buddhist,Count,792
2006,Christian,Count,40083
2006,Hindu,Count,696
2006,Islam/Muslim,Count,651
2006,Judaism/ Jewish,Count,81
2006,Maori Christian,Count,1020
2006,Spiritualism and New Age Religions,Count,432
2006,Other Religions,Count,294
2006,Object to Answering,Count,4362
2006,Total people stated,Count,73293
2006,Not Elsewhere Included,Count,4605
2006,Total people,Count,77724
2006,No Religion,Count,4968
2006,Buddhist,Count,93
2006,Christian,Count,9879
2006,Hindu,Count,30
2006,Islam/Muslim,Count,36
2006,Judaism/ Jewish,Count,15
2006,Maori Christian,Count,555
2006,Spiritualism and New Age Religions,Count,72
2006,Other Religions,Count,54
2006,Object to Answering,Count,1317
2006,Total people stated,Count,16551
2006,Not Elsewhere Included,Count,1113
2006,Total people,Count,17634
2006,No Religion,Count,9444
2006,Buddhist,Count,108
2006,Christian,Count,15912
2006,Hindu,Count,108
2006,Islam/Muslim,Count,51
2006,Judaism/ Jewish,Count,33
2006,Maori Christian,Count,501
2006,Spiritualism and New Age Religions,Count,141
2006,Other Religions,Count,105
2006,Object to Answering,Count,2397
2006,Total people stated,Count,28038
2006,Not Elsewhere Included,Count,1890
2006,Total people,Count,29868
2006,No Religion,Count,15393
2006,Buddhist,Count,312
2006,Christian,Count,24624
2006,Hindu,Count,159
2006,Islam/Muslim,Count,48
2006,Judaism/ Jewish,Count,66
2006,Maori Christian,Count,315
2006,Spiritualism and New Age Religions,Count,327
2006,Other Religions,Count,162
2006,Object to Answering,Count,3069
2006,Total people stated,Count,43485
2006,Not Elsewhere Included,Count,2838
2006,Total people,Count,46197
2006,No Religion,Count,13914
2006,Buddhist,Count,555
2006,Christian,Count,26412
2006,Hindu,Count,345
2006,Islam/Muslim,Count,477
2006,Judaism/ Jewish,Count,63
2006,Maori Christian,Count,954
2006,Spiritualism and New Age Religions,Count,192
2006,Other Religions,Count,189
2006,Object to Answering,Count,2544
2006,Total people stated,Count,44460
2006,Not Elsewhere Included,Count,4194
2006,Total people,Count,48546
2006,No Religion,Count,12693
2006,Buddhist,Count,360
2006,Christian,Count,20403
2006,Hindu,Count,249
2006,Islam/Muslim,Count,138
2006,Judaism/ Jewish,Count,60
2006,Maori Christian,Count,465
2006,Spiritualism and New Age Religions,Count,261
2006,Other Religions,Count,141
2006,Object to Answering,Count,2361
2006,Total people stated,Count,36363
2006,Not Elsewhere Included,Count,2121
2006,Total people,Count,38415
2006,No Religion,Count,31146
2006,Buddhist,Count,1251
2006,Christian,Count,50757
2006,Hindu,Count,2409
2006,Islam/Muslim,Count,831
2006,Judaism/ Jewish,Count,201
2006,Maori Christian,Count,1596
2006,Spiritualism and New Age Religions,Count,525
2006,Other Religions,Count,372
2006,Object to Answering,Count,5640
2006,Total people stated,Count,92466
2006,Not Elsewhere Included,Count,5448
2006,Total people,Count,97704
2006,No Religion,Count,66900
2006,Buddhist,Count,3879
2006,Christian,Count,82509
2006,Hindu,Count,4815
2006,Islam/Muslim,Count,2172
2006,Judaism/ Jewish,Count,786
2006,Maori Christian,Count,930
2006,Spiritualism and New Age Religions,Count,1038
2006,Other Religions,Count,786
2006,Object to Answering,Count,8379
2006,Total people stated,Count,168729
2006,Not Elsewhere Included,Count,11145
2006,Total people,Count,179466
2006,No Religion,Count,7152
2006,Buddhist,Count,90
2006,Christian,Count,12339
2006,Hindu,Count,60
2006,Islam/Muslim,Count,18
2006,Judaism/ Jewish,Count,24
2006,Maori Christian,Count,420
2006,Spiritualism and New Age Religions,Count,108
2006,Other Religions,Count,90
2006,Object to Answering,Count,1560
2006,Total people stated,Count,21384
2006,Not Elsewhere Included,Count,1278
2006,Total people,Count,22623
2006,No Religion,Count,2331
2006,Buddhist,Count,30
2006,Christian,Count,3822
2006,Hindu,Count,18
2006,Islam/Muslim,Count,18
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,48
2006,Spiritualism and New Age Religions,Count,36
2006,Other Religions,Count,33
2006,Object to Answering,Count,519
2006,Total people stated,Count,6699
2006,Not Elsewhere Included,Count,417
2006,Total people,Count,7098
2006,No Religion,Count,2829
2006,Buddhist,Count,30
2006,Christian,Count,4749
2006,Hindu,Count,27
2006,Islam/Muslim,Count,9
2006,Judaism/ Jewish,Count,12
2006,Maori Christian,Count,102
2006,Spiritualism and New Age Religions,Count,42
2006,Other Religions,Count,30
2006,Object to Answering,Count,666
2006,Total people stated,Count,8316
2006,Not Elsewhere Included,Count,588
2006,Total people,Count,8889
2006,No Religion,Count,18081
2006,Buddhist,Count,375
2006,Christian,Count,20223
2006,Hindu,Count,90
2006,Islam/Muslim,Count,57
2006,Judaism/ Jewish,Count,51
2006,Maori Christian,Count,162
2006,Spiritualism and New Age Religions,Count,339
2006,Other Religions,Count,111
2006,Object to Answering,Count,3486
2006,Total people stated,Count,41862
2006,Not Elsewhere Included,Count,2883
2006,Total people,Count,44625
2006,No Religion,Count,17685
2006,Buddhist,Count,522
2006,Christian,Count,19152
2006,Hindu,Count,147
2006,Islam/Muslim,Count,78
2006,Judaism/ Jewish,Count,72
2006,Maori Christian,Count,171
2006,Spiritualism and New Age Religions,Count,363
2006,Other Religions,Count,153
2006,Object to Answering,Count,2964
2006,Total people stated,Count,40389
2006,Not Elsewhere Included,Count,2625
2006,Total people,Count,42891
2006,No Religion,Count,13797
2006,Buddhist,Count,252
2006,Christian,Count,22806
2006,Hindu,Count,105
2006,Islam/Muslim,Count,72
2006,Judaism/ Jewish,Count,51
2006,Maori Christian,Count,285
2006,Spiritualism and New Age Religions,Count,180
2006,Other Religions,Count,126
2006,Object to Answering,Count,2847
2006,Total people stated,Count,39615
2006,Not Elsewhere Included,Count,2997
2006,Total people,Count,42546
2006,No Religion,Count,1137
2006,Buddhist,Count,12
2006,Christian,Count,1965
2006,Hindu,Count,9
2006,Islam/Muslim,Count,6
2006,Judaism/ Jewish,Count,0
2006,Maori Christian,Count,24
2006,Spiritualism and New Age Religions,Count,15
2006,Other Religions,Count,6
2006,Object to Answering,Count,240
2006,Total people stated,Count,3348
2006,Not Elsewhere Included,Count,279
2006,Total people,Count,3621
2006,No Religion,Count,3672
2006,Buddhist,Count,42
2006,Christian,Count,4488
2006,Hindu,Count,9
2006,Islam/Muslim,Count,12
2006,Judaism/ Jewish,Count,18
2006,Maori Christian,Count,54
2006,Spiritualism and New Age Religions,Count,57
2006,Other Religions,Count,24
2006,Object to Answering,Count,831
2006,Total people stated,Count,8994
2006,Not Elsewhere Included,Count,729
2006,Total people,Count,9702
2006,No Religion,Count,4545
2006,Buddhist,Count,57
2006,Christian,Count,7074
2006,Hindu,Count,30
2006,Islam/Muslim,Count,21
2006,Judaism/ Jewish,Count,15
2006,Maori Christian,Count,33
2006,Spiritualism and New Age Religions,Count,78
2006,Other Religions,Count,30
2006,Object to Answering,Count,990
2006,Total people stated,Count,12594
2006,Not Elsewhere Included,Count,654
2006,Total people,Count,13224
2006,No Religion,Count,2688
2006,Buddhist,Count,39
2006,Christian,Count,4293
2006,Hindu,Count,27
2006,Islam/Muslim,Count,18
2006,Judaism/ Jewish,Count,12
2006,Maori Christian,Count,39
2006,Spiritualism and New Age Religions,Count,33
2006,Other Religions,Count,18
2006,Object to Answering,Count,579
2006,Total people stated,Count,7584
2006,Not Elsewhere Included,Count,831
2006,Total people,Count,8403
2006,No Religion,Count,3315
2006,Buddhist,Count,42
2006,Christian,Count,5844
2006,Hindu,Count,15
2006,Islam/Muslim,Count,12
2006,Judaism/ Jewish,Count,12
2006,Maori Christian,Count,27
2006,Spiritualism and New Age Religions,Count,54
2006,Other Religions,Count,24
2006,Object to Answering,Count,759
2006,Total people stated,Count,9858
2006,Not Elsewhere Included,Count,645
2006,Total people,Count,10476
2006,No Religion,Count,15135
2006,Buddhist,Count,144
2006,Christian,Count,23061
2006,Hindu,Count,54
2006,Islam/Muslim,Count,45
2006,Judaism/ Jewish,Count,33
2006,Maori Christian,Count,258
2006,Spiritualism and New Age Religions,Count,165
2006,Other Religions,Count,111
2006,Object to Answering,Count,2805
2006,Total people stated,Count,40887
2006,Not Elsewhere Included,Count,2034
2006,Total people,Count,42834
2006,No Religion,Count,123417
2006,Buddhist,Count,4410
2006,Christian,Count,178464
2006,Hindu,Count,2163
2006,Islam/Muslim,Count,2565
2006,Judaism/ Jewish,Count,516
2006,Maori Christian,Count,1911
2006,Spiritualism and New Age Religions,Count,1887
2006,Other Religions,Count,1257
2006,Object to Answering,Count,20172
2006,Total people stated,Count,328995
2006,Not Elsewhere Included,Count,20226
2006,Total people,Count,348459
2006,No Religion,Count,11814
2006,Buddhist,Count,141
2006,Christian,Count,18396
2006,Hindu,Count,54
2006,Islam/Muslim,Count,117
2006,Judaism/ Jewish,Count,30
2006,Maori Christian,Count,117
2006,Spiritualism and New Age Religions,Count,135
2006,Other Religions,Count,96
2006,Object to Answering,Count,1872
2006,Total people stated,Count,32193
2006,Not Elsewhere Included,Count,1503
2006,Total people,Count,33645
2006,No Religion,Count,7620
2006,Buddhist,Count,81
2006,Christian,Count,17361
2006,Hindu,Count,39
2006,Islam/Muslim,Count,24
2006,Judaism/ Jewish,Count,24
2006,Maori Christian,Count,114
2006,Spiritualism and New Age Religions,Count,84
2006,Other Religions,Count,39
2006,Object to Answering,Count,1557
2006,Total people stated,Count,26424
2006,Not Elsewhere Included,Count,975
2006,Total people,Count,27372
2006,No Religion,Count,12804
2006,Buddhist,Count,135
2006,Christian,Count,25560
2006,Hindu,Count,63
2006,Islam/Muslim,Count,60
2006,Judaism/ Jewish,Count,18
2006,Maori Christian,Count,165
2006,Spiritualism and New Age Religions,Count,174
2006,Other Religions,Count,99
2006,Object to Answering,Count,2793
2006,Total people stated,Count,41070
2006,Not Elsewhere Included,Count,1860
2006,Total people,Count,42870
2006,No Religion,Count,1122
2006,Buddhist,Count,36
2006,Christian,Count,2154
2006,Hindu,Count,6
2006,Islam/Muslim,Count,6
2006,Judaism/ Jewish,Count,6
2006,Maori Christian,Count,12
2006,Spiritualism and New Age Religions,Count,9
2006,Other Religions,Count,18
2006,Object to Answering,Count,240
2006,Total people stated,Count,3540
2006,Not Elsewhere Included,Count,270
2006,Total people,Count,3801
2006,No Religion,Count,2094
2006,Buddhist,Count,15
2006,Christian,Count,4281
2006,Hindu,Count,12
2006,Islam/Muslim,Count,6
2006,Judaism/ Jewish,Count,3
2006,Maori Christian,Count,27
2006,Spiritualism and New Age Religions,Count,24
2006,Other Religions,Count,24
2006,Object to Answering,Count,600
2006,Total people stated,Count,6897
2006,Not Elsewhere Included,Count,318
2006,Total people,Count,7206
2006,No Religion,Count,177
2006,Buddhist,Count,0
2006,Christian,Count,312
2006,Hindu,Count,0
2006,Islam/Muslim,Count,0
2006,Judaism/ Jewish,Count,0
2006,Maori Christian,Count,39
2006,Spiritualism and New Age Religions,Count,3
2006,Other Religions,Count,3
2006,Object to Answering,Count,39
2006,Total people stated,Count,558
2006,Not Elsewhere Included,Count,51
2006,Total people,Count,609
2006,No Religion,Count,5799
2006,Buddhist,Count,84
2006,Christian,Count,12030
2006,Hindu,Count,42
2006,Islam/Muslim,Count,33
2006,Judaism/ Jewish,Count,9
2006,Maori Christian,Count,57
2006,Spiritualism and New Age Religions,Count,81
2006,Other Religions,Count,27
2006,Object to Answering,Count,1404
2006,Total people stated,Count,19212
2006,Not Elsewhere Included,Count,1053
2006,Total people,Count,20223
2006,No Religion,Count,5460
2006,Buddhist,Count,66
2006,Christian,Count,9510
2006,Hindu,Count,27
2006,Islam/Muslim,Count,9
2006,Judaism/ Jewish,Count,9
2006,Maori Christian,Count,63
2006,Spiritualism and New Age Religions,Count,60
2006,Other Religions,Count,27
2006,Object to Answering,Count,948
2006,Total people stated,Count,15849
2006,Not Elsewhere Included,Count,822
2006,Total people,Count,16647
2006,No Religion,Count,8781
2006,Buddhist,Count,273
2006,Christian,Count,10479
2006,Hindu,Count,120
2006,Islam/Muslim,Count,60
2006,Judaism/ Jewish,Count,60
2006,Maori Christian,Count,60
2006,Spiritualism and New Age Religions,Count,120
2006,Other Religions,Count,90
2006,Object to Answering,Count,1092
2006,Total people stated,Count,20670
2006,Not Elsewhere Included,Count,2364
2006,Total people,Count,22956
2006,No Religion,Count,45111
2006,Buddhist,Count,1290
2006,Christian,Count,57978
2006,Hindu,Count,600
2006,Islam/Muslim,Count,594
2006,Judaism/ Jewish,Count,162
2006,Maori Christian,Count,348
2006,Spiritualism and New Age Religions,Count,723
2006,Other Religions,Count,348
2006,Object to Answering,Count,6789
2006,Total people stated,Count,111609
2006,Not Elsewhere Included,Count,7311
2006,Total people,Count,118683
2006,No Religion,Count,5889
2006,Buddhist,Count,42
2006,Christian,Count,9300
2006,Hindu,Count,6
2006,Islam/Muslim,Count,33
2006,Judaism/ Jewish,Count,9
2006,Maori Christian,Count,69
2006,Spiritualism and New Age Religions,Count,45
2006,Other Religions,Count,57
2006,Object to Answering,Count,1074
2006,Total people stated,Count,16164
2006,Not Elsewhere Included,Count,711
2006,Total people,Count,16839
2006,No Religion,Count,8934
2006,Buddhist,Count,87
2006,Christian,Count,16545
2006,Hindu,Count,33
2006,Islam/Muslim,Count,33
2006,Judaism/ Jewish,Count,12
2006,Maori Christian,Count,156
2006,Spiritualism and New Age Religions,Count,66
2006,Other Religions,Count,63
2006,Object to Answering,Count,1758
2006,Total people stated,Count,27159
2006,Not Elsewhere Included,Count,1320
2006,Total people,Count,28440
2006,No Religion,Count,3216
2006,Buddhist,Count,18
2006,Christian,Count,7596
2006,Hindu,Count,12
2006,Islam/Muslim,Count,21
2006,Judaism/ Jewish,Count,3
2006,Maori Christian,Count,105
2006,Spiritualism and New Age Religions,Count,33
2006,Other Religions,Count,36
2006,Object to Answering,Count,696
2006,Total people stated,Count,11502
2006,Not Elsewhere Included,Count,615
2006,Total people,Count,12108
2006,No Religion,Count,16236
2006,Buddhist,Count,231
2006,Christian,Count,28011
2006,Hindu,Count,114
2006,Islam/Muslim,Count,90
2006,Judaism/ Jewish,Count,33
2006,Maori Christian,Count,426
2006,Spiritualism and New Age Religions,Count,168
2006,Other Religions,Count,126
2006,Object to Answering,Count,3246
2006,Total people stated,Count,47526
2006,Not Elsewhere Included,Count,2883
2006,Total people,Count,50328
2006,No Religion,Count,48
2006,Buddhist,Count,0
2006,Christian,Count,48
2006,Hindu,Count,0
2006,Islam/Muslim,Count,0
2006,Judaism/ Jewish,Count,0
2006,Maori Christian,Count,3
2006,Spiritualism and New Age Religions,Count,0
2006,Other Religions,Count,0
2006,Object to Answering,Count,6
2006,Total people stated,Count,105
2006,Not Elsewhere Included,Count,75
2006,Total people,Count,177
2006,No Religion,Count,1297104
