Census Year,Subject population,Religious affiliation,Religious affiliation Code,Unit,Value,Value Unit,Value Label,Null Reason
2023,Census usually resident population,Vajrayana Buddhism,Vajrayana Buddhism,Count,291,number,Number of people,
2023,Census usually resident population,Vajrayana Buddhism,Vajrayana Buddhism,Percentage of total stated,0.005827082235749,percentage,% of people,
2013,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Count,156,number,Number of people,
2013,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Percentage of total stated,0.003998806510057,percentage,% of people where information available,
2018,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Count,51,number,Number of people,
2018,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Percentage of total stated,0.001085162949984,percentage,% of people,
2023,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Count,69,number,Number of people,
2023,Census usually resident population,Buddhism (not elsewhere classified),Buddhism nec,Percentage of total stated,0.001381679293013,percentage,% of people,
2013,Census usually resident population,Christian (not further defined),Christian nfd,Count,216177,number,Number of people,
2013,Census usually resident population,Christian (not further defined),Christian nfd,Percentage of total stated,5.541346121311,percentage,% of people where information available,
2018,Census usually resident population,Christian (not further defined),Christian nfd,Count,307926,number,Number of people,
2018,Census usually resident population,Christian (not further defined),Christian nfd,Percentage of total stated,6.551958559542,percentage,% of people,
2023,Census usually resident population,Christian (not further defined),Christian nfd,Count,364644,number,Number of people,
2023,Census usually resident population,Christian (not further defined),Christian nfd,Percentage of total stated,7.301754552483,percentage,% of people,
2013,Census usually resident population,Adventist (not further defined),Adventist nfd,Count,474,number,Number of people,
2013,Census usually resident population,Adventist (not further defined),Adventist nfd,Percentage of total stated,0.01215021978056,percentage,% of people where information available,
2018,Census usually resident population,Adventist (not further defined),Adventist nfd,Count,378,number,Number of people,
2018,Census usually resident population,Adventist (not further defined),Adventist nfd,Percentage of total stated,0.008042972452819,percentage,% of people,
2023,Census usually resident population,Adventist (not further defined),Adventist nfd,Count,465,number,Number of people,
2023,Census usually resident population,Adventist (not further defined),Adventist nfd,Percentage of total stated,0.009311316974651,percentage,% of people,
2013,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Count,14610,number,Number of people,
2013,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Percentage of total stated,0.3745036096919,percentage,% of people where information available,
2018,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Count,17799,number,Number of people,
2018,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Percentage of total stated,0.3787218695443,percentage,% of people,
2023,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Count,18204,number,Number of people,
2023,Census usually resident population,Seventh Day Adventist,Seventh Day Adventist,Percentage of total stated,0.3645230413044,percentage,% of people,
2013,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Count,279,number,Number of people,
2013,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Percentage of total stated,0.007151711642987,percentage,% of people where information available,
2018,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Count,279,number,Number of people,
2018,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Percentage of total stated,0.005936479667557,percentage,% of people,
2023,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Count,270,number,Number of people,
2023,Census usually resident population,Worldwide Church of God,Worldwide Church of God,Percentage of total stated,0.005406571146572,percentage,% of people,
2013,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Count,36,number,Number of people,
2013,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Percentage of total stated,0.0009228015023208,percentage,% of people where information available,
2018,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Count,54,number,Number of people,
2018,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Percentage of total stated,0.001148996064688,percentage,% of people,
2023,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Count,51,number,Number of people,
2023,Census usually resident population,Adventist (not elsewhere classified),Adventist nec,Percentage of total stated,0.001021241216575,percentage,% of people,
2013,Census usually resident population,Anglicanism,Anglican,Count,459771,number,Number of people,
2013,Census usually resident population,Anglicanism,Anglican,Percentage of total stated,11.78548248677,percentage,% of people where information available,
2018,Census usually resident population,Anglicanism,Anglican,Count,314913,number,Number of people,
2018,Census usually resident population,Anglicanism,Anglican,Percentage of total stated,6.70062588369,percentage,% of people,
2023,Census usually resident population,Anglicanism,Anglican,Count,245301,number,Number of people,
2023,Census usually resident population,Anglicanism,Anglican,Percentage of total stated,4.911990032686,percentage,% of people,
2013,Census usually resident population,Chinese Christian,Chinese Christian,Count,105,number,Number of people,
2013,Census usually resident population,Chinese Christian,Chinese Christian,Percentage of total stated,0.002691504381769,percentage,% of people where information available,
2018,Census usually resident population,Chinese Christian,Chinese Christian,Count,6660,number,Number of people,
2018,Census usually resident population,Chinese Christian,Chinese Christian,Percentage of total stated,0.1417095146449,percentage,% of people,
2023,Census usually resident population,Chinese Christian,Chinese Christian,Count,6219,number,Number of people,
2023,Census usually resident population,Chinese Christian,Chinese Christian,Percentage of total stated,0.1245313554094,percentage,% of people,
2013,Census usually resident population,Korean Christian,Korean Christian,Count,27,number,Number of people,
2013,Census usually resident population,Korean Christian,Korean Christian,Percentage of total stated,0.0006921011267406,percentage,% of people where information available,
2018,Census usually resident population,Korean Christian,Korean Christian,Count,3543,number,Number of people,
2018,Census usually resident population,Korean Christian,Korean Christian,Percentage of total stated,0.07538690846651,percentage,% of people,
2023,Census usually resident population,Korean Christian,Korean Christian,Count,4110,number,Number of people,
2023,Census usually resident population,Korean Christian,Korean Christian,Percentage of total stated,0.08230002745337,percentage,% of people,
2013,Census usually resident population,Baptist (not further defined),Baptist nfd,Count,53493,number,Number of people,
2013,Census usually resident population,Baptist (not further defined),Baptist nfd,Percentage of total stated,1.371206132324,percentage,% of people where information available,
2018,Census usually resident population,Baptist (not further defined),Baptist nfd,Count,35967,number,Number of people,
2018,Census usually resident population,Baptist (not further defined),Baptist nfd,Percentage of total stated,0.7652952121972,percentage,% of people,
2023,Census usually resident population,Baptist (not further defined),Baptist nfd,Count,28548,number,Number of people,
2023,Census usually resident population,Baptist (not further defined),Baptist nfd,Percentage of total stated,0.5716547892308,percentage,% of people,
2013,Census usually resident population,Bible Baptist,Bible Baptist,Count,111,number,Number of people,
2013,Census usually resident population,Bible Baptist,Bible Baptist,Percentage of total stated,0.002845304632156,percentage,% of people where information available,
2018,Census usually resident population,Bible Baptist,Bible Baptist,Count,846,number,Number of people,
2018,Census usually resident population,Bible Baptist,Bible Baptist,Percentage of total stated,0.01800093834679,percentage,% of people,
2023,Census usually resident population,Bible Baptist,Bible Baptist,Count,954,number,Number of people,
2023,Census usually resident population,Bible Baptist,Bible Baptist,Percentage of total stated,0.01910321805122,percentage,% of people,
2013,Census usually resident population,Independent Baptist,Independent Baptist,Count,309,number,Number of people,
2013,Census usually resident population,Independent Baptist,Independent Baptist,Percentage of total stated,0.007920712894921,percentage,% of people where information available,
2018,Census usually resident population,Independent Baptist,Independent Baptist,Count,1218,number,Number of people,
2018,Census usually resident population,Independent Baptist,Independent Baptist,Percentage of total stated,0.0259162445702,percentage,% of people,
2023,Census usually resident population,Independent Baptist,Independent Baptist,Count,1071,number,Number of people,
2023,Census usually resident population,Independent Baptist,Independent Baptist,Percentage of total stated,0.02144606554807,percentage,% of people,
2013,Census usually resident population,Reformed Baptist,Reformed Baptist,Count,390,number,Number of people,
2013,Census usually resident population,Reformed Baptist,Reformed Baptist,Percentage of total stated,0.009997016275142,percentage,% of people where information available,
2018,Census usually resident population,Reformed Baptist,Reformed Baptist,Count,987,number,Number of people,
2018,Census usually resident population,Reformed Baptist,Reformed Baptist,Percentage of total stated,0.02100109473792,percentage,% of people,
2023,Census usually resident population,Reformed Baptist,Reformed Baptist,Count,1152,number,Number of people,
2023,Census usually resident population,Reformed Baptist,Reformed Baptist,Percentage of total stated,0.02306803689204,percentage,% of people,
2013,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Count,39,number,Number of people,
2013,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Percentage of total stated,0.0009997016275142,percentage,% of people where information available,
2018,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Count,12,number,Number of people,
2018,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Percentage of total stated,0.0002553324588197,percentage,% of people,
2023,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Count,9,number,Number of people,
2023,Census usually resident population,Baptist (not elsewhere classified),Baptist nec,Percentage of total stated,0.0001802190382191,percentage,% of people,
2013,Census usually resident population,Brethren (not further defined),Brethren nfd,Count,4965,number,Number of people,
2013,Census usually resident population,Brethren (not further defined),Brethren nfd,Percentage of total stated,0.1272697071951,percentage,% of people where information available,
2018,Census usually resident population,Brethren (not further defined),Brethren nfd,Count,1551,number,Number of people,
2018,Census usually resident population,Brethren (not further defined),Brethren nfd,Percentage of total stated,0.03300172030244,percentage,% of people,
2023,Census usually resident population,Brethren (not further defined),Brethren nfd,Count,978,number,Number of people,
2023,Census usually resident population,Brethren (not further defined),Brethren nfd,Percentage of total stated,0.01958380215314,percentage,% of people,
2013,Census usually resident population,Open Brethren,Open Brethren,Count,7887,number,Number of people,
2013,Census usually resident population,Open Brethren,Open Brethren,Percentage of total stated,0.2021704291335,percentage,% of people where information available,
2018,Census usually resident population,Open Brethren,Open Brethren,Count,5640,number,Number of people,
2018,Census usually resident population,Open Brethren,Open Brethren,Percentage of total stated,0.1200062556452,percentage,% of people,
2023,Census usually resident population,Open Brethren,Open Brethren,Count,4119,number,Number of people,
2023,Census usually resident population,Open Brethren,Open Brethren,Percentage of total stated,0.08248024649159,percentage,% of people,
2013,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Count,5607,number,Number of people,
2013,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Percentage of total stated,0.1437263339865,percentage,% of people where information available,
2018,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Count,6822,number,Number of people,
2018,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Percentage of total stated,0.145156502839,percentage,% of people,
2023,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Count,7170,number,Number of people,
2023,Census usually resident population,Plymouth or Exclusive Brethren,Plymouth or Exclusive Brethren,Percentage of total stated,0.1435745004478,percentage,% of people,
2013,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Count,186,number,Number of people,
2013,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Percentage of total stated,0.004767807761991,percentage,% of people where information available,
2018,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Count,147,number,Number of people,
2018,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Percentage of total stated,0.003127822620541,percentage,% of people,
2023,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Count,96,number,Number of people,
2023,Census usually resident population,Brethren (not elsewhere classified),Brethren nec,Percentage of total stated,0.00192233640767,percentage,% of people,
2013,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Count,491421,number,Number of people,
2013,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Percentage of total stated,12.59677880756,percentage,% of people where information available,
2018,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Count,173016,number,Number of people,
2018,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Percentage of total stated,3.681383391262,percentage,% of people,
2023,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Count,155916,number,Number of people,
2023,Census usually resident population,Catholicism (not further defined),Catholicism nfd,Percentage of total stated,3.122114618107,percentage,% of people,
2013,Census usually resident population,Roman Catholic,Roman Catholic,Count,723,number,Number of people,
2013,Census usually resident population,Roman Catholic,Roman Catholic,Percentage of total stated,0.01853293017161,percentage,% of people where information available,
2018,Census usually resident population,Roman Catholic,Roman Catholic,Count,295743,number,Number of people,
2018,Census usually resident population,Roman Catholic,Roman Catholic,Percentage of total stated,6.292732280725,percentage,% of people,
2023,Census usually resident population,Roman Catholic,Roman Catholic,Count,289788,number,Number of people,
2023,Census usually resident population,Roman Catholic,Roman Catholic,Percentage of total stated,5.802812738602,percentage,% of people,
2013,Census usually resident population,Chaldean Catholic,Chaldean Catholic,Count,,number,Number of people,not available
2013,Census usually resident population,Chaldean Catholic,Chaldean Catholic,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Chaldean Catholic,Chaldean Catholic,Count,534,number,Number of people,
2018,Census usually resident population,Chaldean Catholic,Chaldean Catholic,Percentage of total stated,0.01136229441747,percentage,% of people,
2023,Census usually resident population,Chaldean Catholic,Chaldean Catholic,Count,633,number,Number of people,
2023,Census usually resident population,Chaldean Catholic,Chaldean Catholic,Percentage of total stated,0.01267540568807,percentage,% of people,
2013,Census usually resident population,Maronite Catholic,Maronite Catholic,Count,,number,Number of people,not available
2013,Census usually resident population,Maronite Catholic,Maronite Catholic,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Maronite Catholic,Maronite Catholic,Count,96,number,Number of people,
2018,Census usually resident population,Maronite Catholic,Maronite Catholic,Percentage of total stated,0.002042659670557,percentage,% of people,
2023,Census usually resident population,Maronite Catholic,Maronite Catholic,Count,111,number,Number of people,
2023,Census usually resident population,Maronite Catholic,Maronite Catholic,Percentage of total stated,0.002222701471368,percentage,% of people,
2013,Census usually resident population,Melkite Catholic,Melkite Catholic,Count,,number,Number of people,not available
2013,Census usually resident population,Melkite Catholic,Melkite Catholic,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Melkite Catholic,Melkite Catholic,Count,33,number,Number of people,
2018,Census usually resident population,Melkite Catholic,Melkite Catholic,Percentage of total stated,0.0007021642617541,percentage,% of people,
2023,Census usually resident population,Melkite Catholic,Melkite Catholic,Count,24,number,Number of people,
2023,Census usually resident population,Melkite Catholic,Melkite Catholic,Percentage of total stated,0.0004805841019175,percentage,% of people,
2013,Census usually resident population,Syro-Malabar Catholic,Syro-Malabar Catholic,Count,,number,Number of people,not available
2013,Census usually resident population,Syro-Malabar Catholic,Syro-Malabar Catholic,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Syro-Malabar Catholic,Syro-Malabar Catholic,Count,483,number,Number of people,
2018,Census usually resident population,Syro-Malabar Catholic,Syro-Malabar Catholic,Percentage of total stated,0.01027713146749,percentage,% of people,
2023,Census usually resident population,Syro-Malabar Catholic,Syro-Malabar Catholic,Count,882,number,Number of people,
2023,Census usually resident population,Syro-Malabar Catholic,Syro-Malabar Catholic,Percentage of total stated,0.01766146574547,percentage,% of people,
2013,Census usually resident population,Ukrainian Catholic,Ukrainian Catholic,Count,,number,Number of people,not available
2013,Census usually resident population,Ukrainian Catholic,Ukrainian Catholic,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Ukrainian Catholic,Ukrainian Catholic,Count,39,number,Number of people,
2018,Census usually resident population,Ukrainian Catholic,Ukrainian Catholic,Percentage of total stated,0.0008298304911639,percentage,% of people,
2023,Census usually resident population,Ukrainian Catholic,Ukrainian Catholic,Count,45,number,Number of people,
2023,Census usually resident population,Ukrainian Catholic,Ukrainian Catholic,Percentage of total stated,0.0009010951910953,percentage,% of people,
2013,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Count,177,number,Number of people,
2013,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Percentage of total stated,0.004537107386411,percentage,% of people where information available,
2018,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Count,1086,number,Number of people,
2018,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Percentage of total stated,0.02310758752318,percentage,% of people,
2023,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Count,2085,number,Number of people,
2023,Census usually resident population,Catholicism (not elsewhere classified),Catholicism nec,Percentage of total stated,0.04175074385408,percentage,% of people,
2013,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Count,1755,number,Number of people,
2013,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Percentage of total stated,0.04498657323814,percentage,% of people where information available,
2018,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Count,1302,number,Number of people,
2018,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Percentage of total stated,0.02770357178193,percentage,% of people,
2023,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Count,2991,number,Number of people,
2023,Census usually resident population,Church of Christ (not further defined),Church of Christ nfd,Percentage of total stated,0.05989279370146,percentage,% of people,
2013,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Count,177,number,Number of people,
2013,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Percentage of total stated,0.004537107386411,percentage,% of people where information available,
2018,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Count,1176,number,Number of people,
2018,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Percentage of total stated,0.02502258096433,percentage,% of people,
2023,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Count,489,number,Number of people,
2023,Census usually resident population,Associated Churches of Christ,Associated Churches of Christ,Percentage of total stated,0.009791901076568,percentage,% of people,
2013,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Count,213,number,Number of people,
2013,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Percentage of total stated,0.005459908888732,percentage,% of people where information available,
2018,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Count,780,number,Number of people,
2018,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Percentage of total stated,0.01659660982328,percentage,% of people,
2023,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Count,723,number,Number of people,
2023,Census usually resident population,Other Church of Christ and Churches of Christ (not elsewhere classified),Other Church of Christ and Churches of Christ nec,Percentage of total stated,0.01447759607026,percentage,% of people,
2013,Census usually resident population,Evangelical,Evangelical,Count,6099,number,Number of people,
2013,Census usually resident population,Evangelical,Evangelical,Percentage of total stated,0.1563379545182,percentage,% of people where information available,
2018,Census usually resident population,Evangelical,Evangelical,Count,4554,number,Number of people,
2018,Census usually resident population,Evangelical,Evangelical,Percentage of total stated,0.09689866812206,percentage,% of people,
2023,Census usually resident population,Evangelical,Evangelical,Count,4149,number,Number of people,
2023,Census usually resident population,Evangelical,Evangelical,Percentage of total stated,0.08308097661898,percentage,% of people,
2013,Census usually resident population,Born Again,Born Again,Count,7917,number,Number of people,
2013,Census usually resident population,Born Again,Born Again,Percentage of total stated,0.2029394303854,percentage,% of people where information available,
2018,Census usually resident population,Born Again,Born Again,Count,33486,number,Number of people,
2018,Census usually resident population,Born Again,Born Again,Percentage of total stated,0.7125052263363,percentage,% of people,
2023,Census usually resident population,Born Again,Born Again,Count,29061,number,Number of people,
2023,Census usually resident population,Born Again,Born Again,Percentage of total stated,0.5819272744093,percentage,% of people,
2013,Census usually resident population,Fundamentalist,Fundamentalist,Count,189,number,Number of people,
2013,Census usually resident population,Fundamentalist,Fundamentalist,Percentage of total stated,0.004844707887184,percentage,% of people where information available,
2018,Census usually resident population,Fundamentalist,Fundamentalist,Count,87,number,Number of people,
2018,Census usually resident population,Fundamentalist,Fundamentalist,Percentage of total stated,0.001851160326443,percentage,% of people,
2023,Census usually resident population,Fundamentalist,Fundamentalist,Count,78,number,Number of people,
2023,Census usually resident population,Fundamentalist,Fundamentalist,Percentage of total stated,0.001561898331232,percentage,% of people,
2013,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Count,1194,number,Number of people,
2013,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Percentage of total stated,0.03060624982697,percentage,% of people where information available,
2018,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Count,750,number,Number of people,
2018,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Percentage of total stated,0.01595827867623,percentage,% of people,
2023,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Count,654,number,Number of people,
2023,Census usually resident population,Independent Evangelical Churches,Independent Evangelical Churches,Percentage of total stated,0.01309591677725,percentage,% of people,
2013,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Count,17934,number,Number of people,
2013,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Percentage of total stated,0.4597089484062,percentage,% of people where information available,
2018,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Count,20061,number,Number of people,
2018,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Percentage of total stated,0.4268520380318,percentage,% of people,
2023,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Count,18471,number,Number of people,
2023,Census usually resident population,Jehovah's Witnesses,Jehovah's Witnesses,Percentage of total stated,0.3698695394382,percentage,% of people,
2013,Census usually resident population,Latter-day Saints,Latter-day Saints,Count,40728,number,Number of people,
2013,Census usually resident population,Latter-day Saints,Latter-day Saints,Percentage of total stated,1.043996099626,percentage,% of people where information available,
2018,Census usually resident population,Latter-day Saints,Latter-day Saints,Count,54123,number,Number of people,
2018,Census usually resident population,Latter-day Saints,Latter-day Saints,Percentage of total stated,1.151613222391,percentage,% of people,
2023,Census usually resident population,Latter-day Saints,Latter-day Saints,Count,54348,number,Number of people,
2023,Census usually resident population,Latter-day Saints,Latter-day Saints,Percentage of total stated,1.088282698792,percentage,% of people,
2013,Census usually resident population,Lutheran,Lutheran,Count,3903,number,Number of people,
2013,Census usually resident population,Lutheran,Lutheran,Percentage of total stated,0.1000470628766,percentage,% of people where information available,
2018,Census usually resident population,Lutheran,Lutheran,Count,3585,number,Number of people,
2018,Census usually resident population,Lutheran,Lutheran,Percentage of total stated,0.07628057207237,percentage,% of people,
2023,Census usually resident population,Lutheran,Lutheran,Count,2859,number,Number of people,
2023,Census usually resident population,Lutheran,Lutheran,Percentage of total stated,0.05724958114092,percentage,% of people,
2013,Census usually resident population,Methodist (not further defined),Methodist nfd,Count,97320,number,Number of people,
2013,Census usually resident population,Methodist (not further defined),Methodist nfd,Percentage of total stated,2.494640061274,percentage,% of people where information available,
2018,Census usually resident population,Methodist (not further defined),Methodist nfd,Count,52734,number,Number of people,
2018,Census usually resident population,Methodist (not further defined),Methodist nfd,Percentage of total stated,1.122058490283,percentage,% of people,
2023,Census usually resident population,Methodist (not further defined),Methodist nfd,Count,41337,number,Number of people,
2023,Census usually resident population,Methodist (not further defined),Methodist nfd,Percentage of total stated,0.8277460425401,percentage,% of people,
2013,Census usually resident population,Tongan Methodist,Tongan Methodist,Count,4509,number,Number of people,
2013,Census usually resident population,Tongan Methodist,Tongan Methodist,Percentage of total stated,0.1155808881657,percentage,% of people where information available,
2018,Census usually resident population,Tongan Methodist,Tongan Methodist,Count,11169,number,Number of people,
2018,Census usually resident population,Tongan Methodist,Tongan Methodist,Percentage of total stated,0.2376506860464,percentage,% of people,
2023,Census usually resident population,Tongan Methodist,Tongan Methodist,Count,12540,number,Number of people,
2023,Census usually resident population,Tongan Methodist,Tongan Methodist,Percentage of total stated,0.2511051932519,percentage,% of people,
2013,Census usually resident population,Nazarene,Nazarene,Count,483,number,Number of people,
2013,Census usually resident population,Nazarene,Nazarene,Percentage of total stated,0.01238092015614,percentage,% of people where information available,
2018,Census usually resident population,Nazarene,Nazarene,Count,564,number,Number of people,
2018,Census usually resident population,Nazarene,Nazarene,Percentage of total stated,0.01200062556452,percentage,% of people,
2023,Census usually resident population,Nazarene,Nazarene,Count,519,number,Number of people,
